iter	Logloss
0	0.6917788621
1	0.6902296424
2	0.6895344626
3	0.6884367546
4	0.6873825073
5	0.6859143452
6	0.6846646328
7	0.6839161238
8	0.6829209701
9	0.6816553429
10	0.680554065
11	0.6795354732
12	0.6788179017
13	0.677595637
14	0.6767437849
15	0.6756452283
16	0.6749342229
17	0.6740836924
18	0.6730494125
19	0.6719900436
20	0.6708846782
21	0.6701251465
22	0.6686519769
23	0.6676735423
24	0.6668364651
25	0.6660647639
26	0.6647892707
27	0.6638026496
28	0.6628282938
29	0.6616215796
30	0.6600739581
31	0.6595325725
32	0.6580115066
33	0.6576469345
34	0.6567281541
35	0.6561887757
36	0.6555580555
37	0.6544355945
38	0.6529479688
39	0.6520614443
40	0.6511037489
41	0.6499332722
42	0.6490186903
43	0.6478158772
44	0.6473261788
45	0.6463253337
46	0.6450857186
47	0.6440331231
48	0.6432349668
49	0.6423914595
50	0.641652242
51	0.6408624481
52	0.6399891716
53	0.6387164342
54	0.6379313016
55	0.6370776881
56	0.6360331534
57	0.6354409288
58	0.6344639549
59	0.6336101614
60	0.6322125105
61	0.631570398
62	0.630038076
63	0.6291904113
64	0.6279275037
65	0.6275925829
66	0.6268021898
67	0.6263174881
68	0.6255737085
69	0.625246333
70	0.6247359346
71	0.6238439249
72	0.6228318099
73	0.6218890029
74	0.6213985022
75	0.6206812605
76	0.6200514096
77	0.6193439431
78	0.6189500317
79	0.6177958482
80	0.616703776
81	0.6163530526
82	0.6157999618
83	0.6150976257
84	0.6141949111
85	0.6132381269
86	0.6123225714
87	0.6115121245
88	0.610699182
89	0.6094406813
90	0.608496565
91	0.6077030367
92	0.6064821278
93	0.6058363211
94	0.6048016305
95	0.6036241342
96	0.6026576724
97	0.6017436186
98	0.6006652666
99	0.5997021259
100	0.5986085942
101	0.5978871181
102	0.5971711432
103	0.5964290776
104	0.5954548159
105	0.5942257041
106	0.5935635506
107	0.5924095103
108	0.5915717367
109	0.5908634359
110	0.589715361
111	0.588850177
112	0.5883600055
113	0.58767093
114	0.5865466849
115	0.585752267
116	0.585416743
117	0.5844416171
118	0.5834842744
119	0.5827305896
120	0.5817755963
121	0.5807963604
122	0.5797248483
123	0.5789546023
124	0.5784385696
125	0.5775228104
126	0.5769049647
127	0.5760664559
128	0.5755166318
129	0.5744502191
130	0.5738408985
131	0.572523659
132	0.5719563547
133	0.571318452
134	0.5704343788
135	0.5697897755
136	0.5687951694
137	0.5681222915
138	0.5672896405
139	0.5667179917
140	0.5655788023
141	0.5642926621
142	0.5632584901
143	0.562907507
144	0.5624538263
145	0.5619653016
146	0.5611167379
147	0.5602364126
148	0.559561549
149	0.5588896236
150	0.5579084958
151	0.5568868584
152	0.5561411795
153	0.5554361537
154	0.5546074029
155	0.5536681237
156	0.5529271204
157	0.5520232215
158	0.5516068356
159	0.5508012402
160	0.5502424704
161	0.5494353771
162	0.5484111624
163	0.5474788983
164	0.5468608053
165	0.5457116895
166	0.5452231792
167	0.5444121521
168	0.5434156165
169	0.5424538481
170	0.5422041124
171	0.5416144988
172	0.5409646542
173	0.5401534698
174	0.5393948649
175	0.5387447223
176	0.5382703383
177	0.5373675724
178	0.5367863035
179	0.5357070471
180	0.5347342905
181	0.5340600516
182	0.5333331156
183	0.5325233765
184	0.5318557885
185	0.5311698709
186	0.5305610559
187	0.5294910371
188	0.5287831166
189	0.5281927696
190	0.5272114531
191	0.5266669702
192	0.525938156
193	0.5252717077
194	0.5243734844
195	0.5235832698
196	0.523434719
197	0.5229076583
198	0.522346809
199	0.5215946077
200	0.5207913998
201	0.5200950525
202	0.5196629271
203	0.5187723819
204	0.5176886276
205	0.5168206195
206	0.5163159757
207	0.5153899005
208	0.5144635969
209	0.513815159
210	0.5133646395
211	0.5124749287
212	0.51182479
213	0.5110282445
214	0.510468536
215	0.5095568719
216	0.5086030673
217	0.5079496757
218	0.5071993614
