iter	Passed	Remaining
0	4	4055
1	7	3795
2	10	3644
3	14	3674
4	17	3540
5	21	3563
6	24	3498
7	27	3466
8	31	3460
9	34	3448
10	37	3410
11	41	3391
12	44	3349
13	46	3289
14	49	3278
15	53	3307
16	57	3299
17	60	3296
18	63	3290
19	67	3283
20	70	3286
21	73	3265
22	76	3254
23	80	3259
24	83	3252
25	86	3245
26	90	3253
27	93	3245
28	96	3237
29	99	3220
30	102	3210
31	106	3212
32	109	3199
33	111	3177
34	115	3175
35	118	3165
36	121	3158
37	124	3150
38	129	3185
39	133	3193
40	136	3200
41	139	3192
42	143	3185
43	146	3183
44	149	3173
45	153	3180
46	156	3172
47	159	3153
48	162	3146
49	165	3143
50	168	3136
51	171	3132
52	175	3129
53	178	3129
54	182	3137
55	185	3134
56	188	3124
57	191	3115
58	195	3111
59	198	3109
60	201	3106
61	205	3102
62	208	3099
63	212	3101
64	216	3110
65	218	3096
66	222	3095
67	225	3091
68	229	3090
69	231	3079
70	235	3085
71	238	3080
72	242	3077
73	245	3075
74	248	3063
75	251	3059
76	255	3058
77	258	3056
78	261	3049
79	264	3045
80	267	3037
81	270	3026
82	273	3024
83	276	3017
84	280	3016
85	283	3018
86	287	3015
87	290	3009
88	293	3001
89	296	3002
90	300	2998
91	303	2995
92	306	2991
93	310	2988
94	313	2985
95	316	2979
96	319	2976
97	323	2974
98	326	2969
99	329	2967
100	332	2961
101	335	2956
102	339	2952
103	342	2948
104	345	2947
105	349	2943
106	352	2940
107	355	2934
108	358	2931
109	361	2926
110	363	2914
111	367	2911
112	370	2907
113	374	2907
114	377	2906
115	381	2905
116	383	2897
117	387	2892
118	390	2890
119	393	2887
120	397	2886
121	401	2886
122	404	2882
123	407	2876
124	409	2867
125	413	2866
126	416	2863
127	419	2857
128	422	2852
129	426	2853
130	429	2848
131	432	2844
132	435	2841
133	439	2838
134	442	2834
135	445	2831
136	448	2825
137	451	2820
138	454	2815
139	458	2815
140	462	2817
141	465	2815
142	469	2811
143	472	2805
144	474	2799
145	477	2795
146	481	2791
147	484	2788
148	487	2783
149	490	2779
150	494	2779
151	497	2777
152	501	2776
153	504	2770
154	507	2764
155	510	2760
156	512	2754
157	515	2749
158	518	2744
159	521	2740
160	524	2731
161	527	2730
162	530	2726
163	533	2717
164	536	2714
165	539	2708
166	542	2707
167	545	2702
168	549	2700
169	552	2698
170	555	2692
171	558	2689
172	561	2685
173	564	2680
174	567	2677
175	570	2672
